protocol,case,workers,nv_power,size,constraints,pcs_queries,prove_ms,verify_ms,proof_bytes,communication_bytes,network_bytes,verified,failure_reason
r1cs,positive,1,2,4,4,2,15.319,8.968,12596,8384,0,true,
r1cs,negative,1,2,4,4,2,14.217,7.924,12596,2096,0,false,Pcs
r1cs,positive,2,2,4,4,2,26.552,9.851,17216,12960,0,true,
r1cs,negative,2,2,4,4,2,16.235,7.168,17216,3240,0,false,Pcs
r1cs,positive,1,3,8,8,2,32.022,12.596,19616,10128,0,true,
r1cs,negative,1,3,8,8,2,31.005,8.562,19616,2532,0,false,Pcs
r1cs,positive,2,3,8,8,2,29.169,13.838,25624,16224,0,true,
r1cs,negative,2,3,8,8,2,28.451,10.691,25624,4056,0,false,Pcs
plonkish,positive,1,2,4,16,2,38.158,6.406,22528,3000,0,true,
plonkish,negative,1,2,4,16,2,33.375,0.414,22528,3000,0,false,InvalidProof
plonkish,positive,2,2,4,16,2,25.140,6.372,23920,4888,0,true,
plonkish,negative,2,2,4,16,2,26.169,0.422,23920,4888,0,false,InvalidProof
plonkish,positive,1,3,8,32,2,114.351,11.366,49976,3532,0,true,
plonkish,negative,1,3,8,32,2,109.854,0.665,49976,3532,0,false,InvalidProof
plonkish,positive,2,3,8,32,2,84.718,13.491,51172,5752,0,true,
plonkish,negative,2,3,8,32,2,83.016,0.770,51172,5752,0,false,InvalidProof
