phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,2037.252100,1425.979300,522.148300,89.124500
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,1425.979300,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,522.148300,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,89.124500,0.000000,0.000000,0.000000
