protocol,case,workers,nv_power,size,constraints,pcs_queries,prove_ms,verify_ms,proof_bytes,communication_bytes,network_bytes,verified,failure_reason
r1cs,positive,1,2,4,4,2,4.674,1.670,6020,2096,0,true,
r1cs,negative,1,2,4,4,2,4.494,1.263,6020,2096,0,false,Pcs
r1cs,positive,2,2,4,4,2,4.401,2.337,7064,3240,0,true,
r1cs,negative,2,2,4,4,2,4.722,1.520,7064,3240,0,false,Pcs
r1cs,positive,1,3,8,8,2,12.249,3.302,11876,2532,0,true,
r1cs,negative,1,3,8,8,2,13.910,2.263,11876,2532,0,false,Pcs
r1cs,positive,2,3,8,8,2,10.921,4.836,13168,4056,0,true,
r1cs,negative,2,3,8,8,2,14.353,2.602,13168,4056,0,false,Pcs
plonkish,positive,1,2,4,16,2,33.369,5.844,22528,3000,0,true,
plonkish,negative,1,2,4,16,2,33.762,0.428,22528,3000,0,false,InvalidProof
plonkish,positive,2,2,4,16,2,25.151,5.897,23920,4888,0,true,
plonkish,negative,2,2,4,16,2,25.556,0.460,23920,4888,0,false,InvalidProof
plonkish,positive,1,3,8,32,2,115.338,12.141,49976,3532,0,true,
plonkish,negative,1,3,8,32,2,110.334,0.656,49976,3532,0,false,InvalidProof
plonkish,positive,2,3,8,32,2,81.086,12.008,51172,5752,0,true,
plonkish,negative,2,3,8,32,2,80.781,0.662,51172,5752,0,false,InvalidProof
