phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,76236.954200,34470.952000,39170.786600,2595.215600
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,34470.952000,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,39170.786600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,2595.215600,0.000000,0.000000,0.000000
