phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,2181.827500,1308.429400,698.702500,174.695600
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,1308.429400,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,698.702500,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,174.695600,0.000000,0.000000,0.000000
