phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,598.536000,353.611300,196.737600,48.187100
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,353.611300,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,196.737600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,48.187100,0.000000,0.000000,0.000000
