runner,opening,trial,workers,nv_power,size,t_rows_per_worker,paper_b_target,shard_len,pcs_queries_requested,pcs_queries_effective,partition_ms,worker_commit_ms,master_commit_ms,commit_ms,open_ms,verify_ms,commitment_bytes,opening_proof_bytes,communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,host_logical_cores,cores_per_worker,core_affinity,verified,failure_reason
local,compact,1,8,10,1024,128.000000,56,128,1,1,0.003700,4.840600,0.285300,5.130000,45.777500,22.923300,560,30665,30921,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,10,1024,64.000000,96,64,1,1,0.005200,5.149700,0.520400,5.675600,45.837500,30.182000,1072,40825,41337,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,11,2048,2048.000000,11,2048,1,1,0.003400,8.047400,0.079500,8.131400,133.941600,22.343300,112,29283,29315,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,11,2048,1024.000000,20,1024,1,1,0.003700,7.849100,0.109900,7.963300,95.729000,22.086900,176,28453,28517,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,11,2048,512.000000,36,512,1,1,0.005000,8.103800,0.165000,8.274400,73.185100,22.898500,304,29787,29915,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,11,2048,256.000000,64,256,1,1,0.004400,8.053900,0.289100,8.348000,63.103300,25.798000,560,34855,35111,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,11,2048,128.000000,112,128,1,1,0.005200,8.910200,0.519000,9.434900,61.270200,34.018400,1072,46401,46913,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,12,4096,4096.000000,12,4096,1,1,0.003400,13.349500,0.073800,13.427300,216.964000,25.945100,112,32879,32911,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,12,4096,2048.000000,22,2048,1,1,0.005000,15.991700,0.206700,16.204300,167.689600,25.529700,176,32049,32113,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,12,4096,1024.000000,40,1024,1,1,0.003900,15.780600,0.170700,15.955900,107.306800,25.290000,304,33581,33709,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,12,4096,512.000000,72,512,1,1,0.004300,15.267000,0.281900,15.553700,89.764700,29.376500,560,39243,39499,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,12,4096,256.000000,128,256,1,1,0.004700,15.370100,0.520400,15.895800,85.939700,38.546500,1072,52175,52687,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,13,8192,8192.000000,13,8192,1,1,0.002500,27.634600,0.076000,27.713700,386.915500,29.345100,112,36673,36705,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,13,8192,4096.000000,24,4096,1,1,0.003900,28.884400,0.113800,29.003000,251.639700,27.731900,176,35843,35907,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,13,8192,2048.000000,44,2048,1,1,0.003800,27.028000,0.177500,27.210300,166.688200,29.064400,304,37573,37701,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,13,8192,1024.000000,80,1024,1,1,0.004600,28.674400,0.306100,28.985600,144.418400,33.553800,560,43829,44085,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,13,8192,512.000000,144,512,1,1,0.005700,33.842500,0.571300,34.420400,139.981700,44.401400,1072,58147,58659,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,14,16384,16384.000000,14,16384,1,1,0.006200,49.363600,0.082900,49.453700,738.816800,33.975600,112,40665,40697,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,14,16384,8192.000000,26,8192,1,1,0.005300,57.852900,0.119900,57.979100,453.179100,31.051400,176,39835,39899,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,14,16384,4096.000000,48,4096,1,1,0.004500,52.580500,0.185400,52.771200,300.921100,32.298000,304,41763,41891,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,14,16384,2048.000000,88,2048,1,1,0.005200,54.132100,0.317700,54.455600,245.756400,37.203100,560,48613,48869,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,14,16384,1024.000000,160,1024,1,1,0.007900,60.895300,0.571000,61.475300,216.459100,48.641800,1072,64317,64829,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,15,32768,32768.000000,15,32768,1,1,0.004700,99.211000,0.085700,99.301900,1343.270800,35.065700,112,44855,44887,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,15,32768,16384.000000,28,16384,1,1,0.004700,99.912800,0.120900,100.039200,798.208700,35.684200,176,44025,44089,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,15,32768,8192.000000,52,8192,1,1,0.004400,105.380000,0.188100,105.573300,563.738900,35.376700,304,46151,46279,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,15,32768,4096.000000,96,4096,1,1,0.005600,104.471800,0.319900,104.798200,414.334400,43.191800,560,53595,53851,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,15,32768,2048.000000,176,2048,1,1,0.006100,114.289700,0.586400,114.882900,349.727900,52.791400,1072,70685,71197,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,1,16,65536,65536.000000,16,65536,1,1,0.004800,215.281700,0.089900,215.377500,2610.302000,38.906500,112,49243,49275,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,2,16,65536,32768.000000,30,32768,1,1,0.004500,210.408100,0.125000,210.538200,1557.355000,38.514300,176,48413,48477,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,4,16,65536,16384.000000,56,16384,1,1,0.005100,209.758600,0.196400,209.960900,1040.018200,39.552400,304,50737,50865,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,8,16,65536,8192.000000,104,8192,1,1,0.004200,206.093700,0.322000,206.420600,791.544700,44.422700,560,58775,59031,0,0,0,20,1,windows-powershell-processor-affinity,true,
local,compact,1,16,16,65536,4096.000000,192,4096,1,1,0.005600,215.439900,0.579100,216.025200,643.645300,58.636300,1072,77251,77763,0,0,0,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,4,16,16.000000,4,16,1,1,0.000000,0.878200,0.000000,0.878200,12.300500,7.675100,112,9655,9687,265,2521,2786,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,4,16,8.000000,6,8,1,1,0.000000,0.963300,0.000000,0.963300,9.363900,7.052200,176,8825,8889,418,4246,4664,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,4,16,4.000000,8,4,1,1,0.000000,0.793100,0.000000,0.793100,8.288500,7.260700,304,8773,8901,727,6906,7633,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,4,16,2.000000,8,2,1,1,0.000000,0.928300,0.000000,0.928300,8.478200,7.813500,560,9683,9939,1337,10639,11976,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,4,16,1.000000,16,1,1,1,0.000000,1.617600,0.000000,1.617600,11.058200,10.644000,1072,11527,12039,2590,14969,17559,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,5,32,32.000000,5,32,1,1,0.000000,1.823000,0.000000,1.823000,17.525600,9.453500,112,11865,11897,377,2919,3296,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,5,32,16.000000,8,16,1,1,0.000000,1.697000,0.000000,1.697000,13.456500,8.753300,176,11035,11099,532,5044,5576,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,5,32,8.000000,12,8,1,1,0.000000,1.071500,0.000000,1.071500,10.896000,8.854300,304,11181,11309,841,8506,9347,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,5,32,4.000000,16,4,1,1,0.000000,1.695600,0.000000,1.695600,11.347100,10.005200,560,12685,12941,1462,13830,15292,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,5,32,2.000000,16,2,1,1,0.000000,1.712700,0.000000,1.712700,14.743600,13.100500,1072,15915,16427,2716,21317,24033,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,6,64,64.000000,6,64,1,1,0.000000,2.577200,0.000000,2.577200,24.459700,11.676600,112,14273,14305,594,3313,3907,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,6,64,32.000000,10,32,1,1,0.000000,2.485900,0.000000,2.485900,19.212600,10.429100,176,13443,13507,751,5837,6588,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,6,64,16.000000,16,16,1,1,0.000000,1.973100,0.000000,1.973100,15.477600,10.734900,304,13787,13915,1061,10104,11165,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,6,64,8.000000,24,8,1,1,0.000000,1.500400,0.000000,1.500400,14.718700,12.350700,560,15885,16141,1682,16992,18674,20,1,windows-powershell-processor-affinity,true,
