phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,2090.272600,1294.165400,786.452400,9.654800
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,1294.165400,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,786.452400,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,9.654800,0.000000,0.000000,0.000000
