phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,5401.248300,3086.496200,1910.121100,404.631000
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,3086.496200,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,1910.121100,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,404.631000,0.000000,0.000000,0.000000
