phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,1494.396200,799.406000,596.670800,98.319400
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,799.406000,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,596.670800,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,98.319400,0.000000,0.000000,0.000000
