phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,1958.982000,1292.523900,655.272600,11.185500
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,1292.523900,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,655.272600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,11.185500,0.000000,0.000000,0.000000
