phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,1145.491100,666.789400,391.773200,86.928500
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,666.789400,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,391.773200,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,86.928500,0.000000,0.000000,0.000000
