phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,12855.642900,7734.775600,4325.842600,795.024700
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,7734.775600,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,4325.842600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,795.024700,0.000000,0.000000,0.000000
