phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,6076.529300,2934.052500,2437.049600,705.427200
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,2934.052500,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,2437.049600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=21 workers=2 trial=1,705.427200,0.000000,0.000000,0.000000
