phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,37857.583200,23967.566400,12604.975500,1285.041300
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,23967.566400,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,12604.975500,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,1285.041300,0.000000,0.000000,0.000000
