phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,48675.323400,25044.888400,19409.016100,4221.418900
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,25044.888400,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,19409.016100,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,4221.418900,0.000000,0.000000,0.000000
