phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,15181.701700,8443.224200,5948.999600,789.477900
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,8443.224200,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,5948.999600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,789.477900,0.000000,0.000000,0.000000
