protocol,case,workers,nv_power,size,constraints,pcs_queries,prove_ms,verify_ms,proof_bytes,communication_bytes,network_bytes,verified,failure_reason
r1cs,positive,1,2,4,4,2,4.907,2.190,6020,2096,0,true,
r1cs,negative,1,2,4,4,2,5.142,2.574,6020,2096,0,false,Pcs
r1cs,positive,2,2,4,4,2,6.048,2.548,7064,3240,0,true,
r1cs,negative,2,2,4,4,2,4.556,2.205,7064,3240,0,false,Pcs
r1cs,positive,1,3,8,8,2,14.517,3.756,11876,2532,0,true,
r1cs,negative,1,3,8,8,2,14.136,2.352,11876,2532,0,false,Pcs
r1cs,positive,2,3,8,8,2,12.276,4.034,13168,4056,0,true,
r1cs,negative,2,3,8,8,2,13.208,2.708,13168,4056,0,false,Pcs
plonkish,positive,1,2,4,16,2,35.555,6.354,22528,3000,0,true,
plonkish,negative,1,2,4,16,2,33.725,0.448,22528,3000,0,false,InvalidProof
plonkish,positive,2,2,4,16,2,26.774,6.645,23920,4888,0,true,
plonkish,negative,2,2,4,16,2,26.766,0.467,23920,4888,0,false,InvalidProof
plonkish,positive,1,3,8,32,2,125.335,12.129,49976,3532,0,true,
plonkish,negative,1,3,8,32,2,122.920,0.821,49976,3532,0,false,InvalidProof
plonkish,positive,2,3,8,32,2,88.300,12.238,51172,5752,0,true,
plonkish,negative,2,3,8,32,2,89.449,0.774,51172,5752,0,false,InvalidProof
