phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,2572.444700,1351.592500,852.405100,368.447100
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,1351.592500,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,852.405100,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,368.447100,0.000000,0.000000,0.000000
