phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,18000.430800,11882.432300,6096.152000,21.846500
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,11882.432300,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,6096.152000,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,21.846500,0.000000,0.000000,0.000000
