phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,2446.214900,1350.354100,739.482400,356.378400
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,1350.354100,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,739.482400,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=20 workers=2 trial=1,356.378400,0.000000,0.000000,0.000000
