phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,143.216400,71.180200,65.869900,6.166300
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,71.180200,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,65.869900,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=18 workers=2 trial=1,6.166300,0.000000,0.000000,0.000000
