phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,348.553700,172.799300,146.519100,29.235300
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,172.799300,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,146.519100,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=19 workers=2 trial=1,29.235300,0.000000,0.000000,0.000000
