phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,20179.343000,11015.118200,7953.856000,1210.368800
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,11015.118200,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,7953.856000,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=23 workers=2 trial=1,1210.368800,0.000000,0.000000,0.000000
