protocol,case,workers,nv_power,size,constraints,pcs_queries,prove_ms,verify_ms,proof_bytes,communication_bytes,network_bytes,verified,failure_reason
r1cs,positive,1,2,4,4,2,22.273,13.861,13364,9152,0,true,
r1cs,negative,1,2,4,4,2,21.204,9.202,13364,2288,0,false,Pcs
r1cs,positive,2,2,4,4,2,22.247,15.112,17696,13440,0,true,
r1cs,negative,2,2,4,4,2,21.322,9.529,17696,3360,0,false,Pcs
r1cs,positive,1,3,8,8,2,40.428,18.569,20736,11248,0,true,
r1cs,negative,1,3,8,8,2,41.705,12.875,20736,2812,0,false,Pcs
r1cs,positive,2,3,8,8,2,35.746,18.615,26392,16992,0,true,
r1cs,negative,2,3,8,8,2,37.587,14.303,26392,4248,0,false,Pcs
plonkish,positive,1,2,4,16,2,36.298,7.006,22928,3400,0,true,
plonkish,negative,1,2,4,16,2,37.049,0.475,22928,3400,0,false,InvalidProof
plonkish,positive,2,2,4,16,2,28.759,7.647,24200,5168,0,true,
plonkish,negative,2,2,4,16,2,28.169,0.618,24200,5168,0,false,InvalidProof
plonkish,positive,1,3,8,32,2,123.586,13.325,50560,4116,0,true,
plonkish,negative,1,3,8,32,2,127.132,0.694,50560,4116,0,false,InvalidProof
plonkish,positive,2,3,8,32,2,92.818,14.217,51572,6152,0,true,
plonkish,negative,2,3,8,32,2,90.673,0.686,51572,6152,0,false,InvalidProof
