phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,18670.298500,11012.088000,6288.486300,1369.724200
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,11012.088000,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,6288.486300,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=24 workers=2 trial=1,1369.724200,0.000000,0.000000,0.000000
