phase,scope,elapsed_ms,commit_ms,open_ms,verify_ms
job,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,18045.579700,10654.003800,5915.299600,1476.276300
paper_worker_commit,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,10654.003800,0.000000,0.000000,0.000000
paper_protocol11_open,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,5915.299600,0.000000,0.000000,0.000000
paper_protocol11_verify,runner=paper-network-protocol11 opening=protocol11 nv=22 workers=2 trial=1,1476.276300,0.000000,0.000000,0.000000
